procedures,provstem,gp_prov_address_suburb,gp_prov_address_state,gp_prov_address_postcode,lon,lat
3,029218,BRIGHTON,VIC,3186,144.9963,-37.91507
3,029218,CALOUNDRA,QLD,4551,153.0884,-26.82807
733,029218,CLAYTON,VIC,3168,145.1266,-37.91342
3,029218,EAST MELBOURNE,VIC,3002,144.9822,-37.81852
1,029218,HAMPTON,VIC,3188,145.0072,-37.93889
306,029248,BERWICK,VIC,3806,145.3495,-38.02502
1,029407,SUNNYBANK,QLD,4109,153.0574,-27.57925
19,029431,DOUGLAS,QLD,4814,146.7547,-19.28582
1,029431,EAST MAITLAND,NSW,2323,151.6076,-32.75761
30,029431,GRAFTON,NSW,2460,153.2711,-29.32077
65,029470,SYDNEY,NSW,2000,151.2567,-33.85995
1,029711,PORT MACQUARIE,NSW,2444,152.8725,-31.43961
1,029749,GOULBURN,NSW,2580,149.7292,-34.72628
1,029754,WESTBOURNE ST,NSW,2065,151.1922,-33.82836
2,030029,PARKVILLE,VIC,3052,144.9489,-37.789
1,030174,PORT LINCOLN,SA,5606,136.8593,-35.37324
57,030188,SPECIALIST ON STATES,SA,5162,138.5652,-35.11212
160,030254,BEDFORD PARK,SA,5042,138.575,-35.00734
9,030261,CAMPBELLTOWN,SA,5074,138.6693,-34.88423
2,030261,ELIZABETH VALE,SA,5112,138.6666,-34.72623
1,030261,MODBURY,SA,5092,138.6802,-34.82132
81,030261,ST MORRIS,SA,5068,138.655,-34.9226
203,030393,LEEDERVILLE,WA,6007,115.8343,-31.93567
1,030393,PERTH,WA,6000,115.8599,-31.94876
487,030409,BUNBURY,WA,6230,115.6492,-33.34108
1,030438,BUSSELTON,WA,6280,115.3027,-33.72895
1,030462,SUBIACO,WA,6008,115.8114,-31.9566
2,030619,BROKEN HILL,NSW,2880,142.2034,-30.17044
4,030619,HERVEY BAY,QLD,4655,152.7837,-25.338
3,030619,MARYBOROUGH,QLD,4650,152.7913,-25.64098
14,030619,TOOWOOMBA,QLD,4350,151.8527,-27.57631
1,030619,WAGGA WAGGA,NSW,2650,147.3762,-35.07459
420,030668,MORUYA,NSW,2537,149.9122,-35.93965
343,030710,PORT MACQUARIE,NSW,2444,152.8725,-31.43961
111,030737,KELMSCOTT,WA,6111,NULL,NULL
1,030737,MIRRABOOKA,WA,6061,115.8435,-31.86411
56,030828,AUCHENFLOWER,QLD,4066,152.9641,-27.47987
1,030828,GUMDALE,QLD,4154,153.1587,-27.49069
9,030828,NORTH LAKES,QLD,4509,NULL,NULL
1,030981,MITCHAM,VIC,3132,145.1967,-37.81922
29,031121,BENOWA,QLD,4217,153.4122,-28.00878
1,031121,SUITE 2/OSLER HOUSE,QLD,4215,153.3979,-27.96713
2,031137,CLAYTON,VIC,3168,145.1266,-37.91342
